,,,BARRA TRADICIONAL,,,,,,,,,,,,,,,,BARRA GRILL,,,,,,,,,,,,,,,,BARRA LIGHT,,,,,,,,,,,,,
Category,Monday Date,Lunes Nombre,T_Category,T_Monday Date,T_Lunes Nombre,T_Lunes Opciones,T_Martes Nombre,T_Martes Opciones,T_Miércoles Nombre,T_Miércoles Opciones,T_Jueves Nombre,T_Jueves Opciones,T_Viernes Nombre,T_Viernes Opciones,T_Sábado Nombre,T_Sábado Opciones,T_Domingo Nombre,T_Domingo Opciones,G_Category,G_Monday Date,G_Lunes Nombre,G_Lunes Opciones,G_Martes Nombre,G_Martes Opciones,G_Miércoles Nombre,G_Miércoles Opciones,G_Jueves Nombre,G_Jueves Opciones,G_Viernes Nombre,G_Viernes Opciones,G_Sábado Nombre,G_Sábado Opciones,G_Domingo Nombre,G_Domingo Opciones,L_Category,L_Monday Date,L_Lunes Nombre,L_Lunes Opciones,L_Martes Nombre,L_Martes Opciones,L_Miércoles Nombre,L_Miércoles Opciones,L_Jueves Nombre,L_Jueves Opciones,L_Viernes Nombre,L_Viernes Opciones,L_Sábado Nombre,L_Sábado Opciones,L_Domingo Nombre,L_Domingo Opciones
config,STATUS,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANA 1,2026-03-23,,-,2026-03-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-03-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-03-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,tradicional_desayuno,,Huevo con jamón,"Frijoles, tortillas de maíz",Hot cakes (2) con miel,Licuado de plátano,Estrellados rancheros,"Frijoles, tortillas de maíz",Huevo con salchicha,"Frijoles, tortillas de maíz",Molletes con frijoles y chorizo,Atole de nuez,Chilaquiles rancheros,Frijoles,Sándwich caliente (1),Avena,grill_plato_1,,Fajitas de pollo,,Pollo frito (2),,Milanesa de res,,"Tacos de carnitas con limón, repollo y cilantro",,Hamburguesa de res hawaiana,,Chuleta de puerco adobada,,Pollo al jalapeño (2),,light_proteina,,Pescado con salsa de rajas,,Pollo en salsa de calabaza,,Coctel de surimi,,Tacos de lechuga con carne molida,,Pollo con nopales,,Ensalada de atún,,Pescado empapelado,
,,,tradicional_frutas,,"Fruta de temporada, Pan dulce, Yogurt y granola",,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,grill_plato_2,,Bistec encebollado,,Res con brócoli,,Chuleta ahumada de puerco,,Fajitas de puerco y winnie,,Pollo en BBQ,,Chop suey de res,,Torta de milanesa,,light_guarnicion,,Arroz rojo,,Aguacate,,Arroz,,Espagueti con mantequilla,,Galletas saladas,,Arroz con zanahoria,,Arroz blanco,
,,,tradicional_bebidas,,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,grill_guarnicion,,Puré de papa,,Puré de papa,,Arroz,,Frijoles puercos,,Papas francesas,,Arroz con zanahoria,,Papas en gajos,,light_caldo,,Sopa Azteca,,Sopa de estrellitas,,Crema de calabaza,,Lentejas,,,,Sopa de semilla de melón,,Alubias,
,,,tradicional_plato,,Asado de puerco,,Pollo con rajas poblanas,,Tostadas de picadillo,,Puerco en BBQ,,Tacos de carnitas,,Albóndigas al chipotle,,Tacos dorados de carne molida con papas,,grill_guarnicion,,Ensalada de pepino,,Ensalada de betabel,,Ensalada de zanahoria,,Ensalada con manzana,,Repollo con cilantro y limón,,Ensalada con curtidos,,Ensalada mixta,,light_ensalada,,"Ensalada de colores (tomate, lechuga, elote y repollo morado)",,Ensalada de betabel,,Ensalada de zanahoria,,Ensalada con manzana,,Repollo con cilantro y limón,,Ensalada con curtidos,,Ensalada mixta,
,,,tradicional_guarnicion_1,,Arroz con chícharos,,Arroz con elote,,Arroz rojo,,Coditos con crema,,,,Espagueti entomatado,,Arroz a la mexicana,,,,,,,,,,,,,,,,,,light_topping,,Guayaba,,Naranja,,Piña,,Manzana,,Manzana,,Piña,,Fresa,
,,,tradicional_guarnicion_2,,Frijoles con jalapeño,,Frijoles refritos,,Frijoles con curtidos,,Frijoles guisados,,Frijoles charros,,Frijoles con manteca de puerco,,Frijoles con chile colorado,,,,,,,,,,,,,,,,,,light_semilla,,Amaranto,,Ajonjolí,,Semilla,,Pepitas,,Cacahuates,,Pasas,,Amaranto,
,,,tradicional_ensalada,,Ensalada de pepino,,Ensalada de betabel,,Ensalada de zanahoria,,Ensalada con manzana,,Repollo con cilantro y limón,,Ensalada con curtidos,,Ensalada mixta,,,,,,,,,,,,,,,,,,light_postre,,Natilla de chocolate,,Naranja,,Gelatina,,Arroz con leche,,Jícama con chile,,Capirotada,,Dulce de carlota,
,,,tradicional_sopa,,Sopa de fideo,,Sopa de estrellitas,,Crema de calabaza,,Lentejas,,,,Sopa de semilla de melón,,Alubias,,,,,,,,,,,,,,,,,,light_complemento,,Galletas,,Tostadas,,Totopos,,Galletas,,Totopos,,Tostadas,,Galletas,
,,,tradicional_postre,,Natilla de chocolate,,Naranja,,Gelatina,,Arroz con leche,,Jícama con chile,,Capirotada,,Dulce de carlota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tradicional_salsas,,Salsa roja,,Salsa verde,,Salsa mortajada,,Salsa chipotle,,Salsa de chile habanero,,Salsa verde,,Salsa roja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANA 2,2026-03-30,,-,2026-03-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-03-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-03-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,tradicional_desayuno,,Chicharrón en salsa verde,"Frijoles, tortillas de maíz",Molletes a la mexicana,Licuado de melón,Picadillo con nopales,"Frijoles, tortillas de maíz",Huevo a la mexicana,"Frijoles, tortillas de maíz",Tacos sudados de papa (3),Atole de coco,Papas con crema poblana,"Frijoles, tortillas de maíz",Lonche de huevo con jamón,Chocolate caliente,grill_plato_1,,Tacos de discada de bistec y puerco,,Boneless con salsa Búfalo-BBQ,,Pescado empapelado,,Tacos al pastor,,Club sándwich,,Pollo en salsa de mango (2 pz),,Torta de bistec con complementos,,light_proteina,,Pescado al cilantro,,Ceviche de pescado,,Repollo relleno con carne molida,,Pescado en salsa veracruzana,,Ensalada de atún,,Pescado empapelado,,Chile relleno con carne,
,,,tradicional_frutas,,"Fruta de temporada, Pan dulce, Yogurt y granola",,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,grill_plato_2,,Milanesa de pollo,,Tiras de pescado,,Pollo con champiñones,,T-bone,,Puerco al albañil,,Pasta Alfredo con pollo,,"Tacos al pastor con repollo, cilantro y limón",,light_guarnicion,,Arroz,,Aguacate,,Arroz,,Arroz,,Aguacate,,Arroz,,Arroz,
,,,tradicional_bebidas,,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,grill_guarnicion,,Frijoles charros,,Papas en gajos,,Arroz rojo,,Frijoles charros,,Papas francesas,,Puré de papa,,Papas en gajos,,light_caldo,,Crema de espinacas,,Sopa de municiones,,Sopa Campbell's,,Sopa de tortilla,,Crema de elote,,Sopa de repollo,,Lentejas,
,,,tradicional_plato,,Caldo tlalpeño de pollo,,Deshebrada en rojo,,Puerco con espinacas,,Pollo con rajas y papas,,Caldo de pescado,,Puerco en salsa de cacahuate,,Picadillo con rajas,,grill_guarnicion,,Ensalada con aceitunas negras,,Ensalada mixta,,Ensalada con nopales,,Ensalada con ejotes,,Ensalada de col,,Ensalada de chayotes,,Ensalada verde,,light_ensalada,,Ensalada con aceitunas negras,,Ensalada mixta,,Ensalada con nopales,,Ensalada con ejotes,,Ensalada de col,,Ensalada de chayotes,,Ensalada verde,
,,,tradicional_guarnicion_1,,Arroz con apio,,Espagueti entomatado,,Arroz rojo,,Arroz con zanahoria,,Arroz con elote,,Arroz con ejotes,,Arroz canario,,,,,,,,,,,,,,,,,,light_topping,,Fresa,,Guayaba,,Piña,,Manzana,,Piña,,Manzana,,Naranja,
,,,tradicional_guarnicion_2,,Frijoles refritos,,Frijoles aguados,,Frijoles con chile de árbol,,Frijoles con jalapeño,,,,Frijoles con manteca de puerco,,Frijoles con chorizo,,,,,,,,,,,,,,,,,,light_semilla,,Ajonjolí,,Semilla,,Amaranto,,Pasas,,Cacahuate,,Semilla,,Ajonjolí,
,,,tradicional_ensalada,,Ensalada con aceitunas negras,,Ensalada mixta,,Ensalada con nopales,,Ensalada con ejotes,,Ensalada de col,,Ensalada de chayotes,,Ensalada verde,,,,,,,,,,,,,,,,,,light_postre,,Gelatina,,Piña en almíbar,,Pudín de fresa,,Buñuelos,,Flan,,Carlota de mango,,Plátanos y bombones con crema,
,,,tradicional_sopa,,Crema de espinacas,,Sopa de municiones,,Sopa Campbell's,,Sopa de tortilla,,Crema de elote,,Sopa de repollo,,Lentejas,,,,,,,,,,,,,,,,,,light_complemento,,Tostadas,,Galletas saladas,,Totopos,,Galletas Ritz,,Totopos,,Tostadas,,Totopos,
,,,tradicional_postre,,Gelatina,,Piña en almíbar,,Pudín de fresa,,Buñuelos,,Flan,,Carlota de mango,,Plátanos y bombones con crema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tradicional_salsas,,Salsa roja,,Salsa verde,,Salsa mortajada,,Salsa chipotle,,Salsa de chile habanero,,Salsa verde,,Salsa roja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANA 3,2026-04-06,,-,2026-04-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,tradicional_desayuno,,Huevo con papas,"Frijoles, tortillas de maíz",Pambazo,Chocolate caliente,Calabazas con jamón,"Frijoles, tortillas de maíz",Huevos divorciados,"Frijoles, tortillas de maíz",Gordita de huevo (1) y de chicharrón (1),Atole de fresa,Papas en chile colorado,Frijoles,Croissant de jamón y queso,Atole de coco,grill_plato_1,,Alitas (5 pz) (Búfalo-Mango habanero),,Torta de pulled pork,,Sopa marinera,,Pescado al mojo de ajo,,Hamburguesa de pollo,,Chuleta de res,,Pollo a la plancha,,light_proteina,,Calabazas rellenas de atún,,Chile caporal,,Croissant de atún,,Rollitos de jamón con queso panela (3),,Fajitas de pollo con morrón y cebolla,,Enchiladas verdes de queso panela (4),,Pollo con ejotes,
,,,tradicional_frutas,,"Fruta de temporada, Pan dulce, Yogurt y granola",,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,grill_plato_2,,Tacos de pescado,,"Tacos al albañil (tocino, chorizo, champiñones)",,Bistec con nopales y cebollín,,T-bone,,Costillas de puerco BBQ,,Puerco mechado (desmenuzado),,Gringa al pastor (1),,light_guarnicion,,Arroz,,Arroz,,Papa en gajos,,Puré de papa,,Arroz,,Arroz,,Tallarines a la mantequilla,
,,,tradicional_bebidas,,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,grill_guarnicion,,Papas francesas,,Papas en gajos,,Arroz,,Puré de papa,,Papas fritas,,Papa asada,,Arroz con elote,,light_caldo,,Lentejas,,Sopa de verduras,,Crema de chícharos,,Sopa de codito,,Sopa de fideo,,Sopa de letras,,Crema de elote,
,,,tradicional_plato,,Estofado de res,,Pollo al pipián,,Pastel de carne (1),,Entomatadas (4),,Gringa al pastor (1),,Pollo a la mexicana,,Empanadas de picadillo (2),,grill_guarnicion,,Ensalada de betabel,,Ensalada con pepino,,Ensalada con espinacas,,Ensalada mixta,,Ensalada de repollo,,Ensalada con nopales,,Ensalada con tomate,,light_ensalada,,Ensalada de betabel,,Ensalada con pepino,,Ensalada con espinacas,,Ensalada mixta,,Ensalada de repollo,,Ensalada con nopales,,Ensalada con tomate,
,,,tradicional_guarnicion_1,,Arroz rojo,,Arroz con elote,,Espagueti con crema,,Arroz con zanahorias,,,,Arroz rojo,,,,,,,,,,,,,,,,,,,,light_topping,,Fresa,,Guayaba,,Piña,,Manzana,,Piña,,Manzana,,Naranja,
,,,tradicional_guarnicion_2,,Frijoles con queso,,Frijoles con chile colorado,,Frijoles con manteca de puerco,,Frijoles graneados a la mexicana,,Frijoles refritos,,Frijoles con manteca de puerco,,Frijoles con curtidos,,,,,,,,,,,,,,,,,,light_semilla,,Pasas,,Chía,,Amaranto,,Semilla,,Cacahuate,,Chía,,Ajonjolí,
,,,tradicional_ensalada,,Ensalada de betabel,,Ensalada con pepino,,Ensalada con espinacas,,Ensalada mixta,,Ensalada de repollo,,Ensalada con nopales,,Ensalada con tomate,,,,,,,,,,,,,,,,,,light_postre,,Canelazo,,Pudín de vainilla,,Gelatina,,Arroz con coco,,Capirotada,,Pan francés,,Dulce de ate,
,,,tradicional_sopa,,Lentejas,,Sopa de verduras,,Crema de chícharos,,Sopa de codito,,Sopa de fideo,,Sopa de letras,,Crema de elote,,,,,,,,,,,,,,,,,,light_complemento,,Tostadas,,Galletas,,Totopos,,Galletas Ritz,,Totopos,,Tostadas,,Totopos,
,,,tradicional_postre,,Canelazo,,Pudín de vainilla,,Gelatina,,Arroz con coco,,Capirotada,,Pan francés,,Dulce de ate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tradicional_salsas,,Salsa roja,,Salsa verde,,Salsa mortajada,,Salsa chipotle,,Salsa de chile habanero,,Salsa verde,,Salsa roja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANA 4,2026-04-13,,-,2026-04-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,tradicional_desayuno,,Huevo con chorizo,"Frijoles, tortillas de maíz",Quesadillas salseadas (2),Atole de nuez,Chilaquiles verdes,Frijoles,Rajas con queso,"Frijoles, tortillas de maíz",Tacos dorados de frijoles (3),Licuado de melón,Omelet de salchicha,Frijoles,Sincronizadas de harina (1),Atole de chocolate,grill_plato_1,,Pollo estilo KFC (2 piezas),,Bistec a la mexicana,,Chuleta ahumada hawaiana,,Hot dog grande y complementos,,"Quesabirrias y complementos (cebolla, cilantro, limón)",,Pechuga bañada de mole,,Taco salad de pollo y complementos,,light_proteina,,Pescado al ajo,,Pollo con chícharos,,Croissant de jamón y panela,,Tacos de pescado,,Pollo con garbanzos,,Ensalada de pollo,,Pescado al vapor con calabaza,
,,,tradicional_frutas,,"Fruta de temporada, Pan dulce, Yogurt y granola",,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,grill_plato_2,,Milanesa de puerco,,Pollo en salsa de champiñones,,Dedos de pescado,,Torta ahogada,,Pollo habanero (2),,T-bone,,Tacos de carnitas,,light_guarnicion,,Arroz,,Papa juliana,,Papa en gajos,,Arroz,,Arroz,,Chiles curtidos,,Arroz,
,,,tradicional_bebidas,,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,grill_guarnicion,,Puré de papa,,Espagueti al chipotle,,Espagueti con poblano,,Papas francesas,,Frijoles charros,,Ensalada de codito,,Ensalada de codito,,light_caldo,,Crema de calabaza,,Crema de papa,,Consomé de pollo,,Crema de espinacas,,Alubias,,Crema de elote,,Crema de zanahoria,
,,,tradicional_plato,,Chop suey de pollo,,Enchiladas suizas de pollo (3),,Deshebrada en salsa mortajada,,Flautas de papa con carne molida y crema (4),,Hamburguesa de res,,Cochinita pibil de puerco,,Chile relleno con carne molida,,grill_guarnicion,,Ensalada verde,,Ensalada con betabel,,Ensalada con chícharos,,Ensalada con zanahoria,,Ensalada verde,,Ensalada con espinacas,,Ensalada con pepino,,light_ensalada,,Ensalada verde,,Ensalada con betabel,,Ensalada con chícharos,,Ensalada con zanahoria,,Ensalada verde,,Ensalada con espinacas,,Ensalada con pepino,
,,,tradicional_guarnicion_1,,Arroz frito,,Arroz con calabaza,,Arroz con cebollín,,Coditos con queso,,,,Arroz a la mexicana,,Arroz rojo,,,,,,,,,,,,,,,,,,light_topping,,Fresa,,Guayaba,,Piña,,Manzana,,Piña,,Manzana,,Naranja,
,,,tradicional_guarnicion_2,,Rollo chino,,Frijoles con chile de árbol,,Frijoles refritos,,Frijoles con chile colorado,,Papas fritas,,Frijoles con manteca de puerco,,Frijoles refritos,,,,,,,,,,,,,,,,,,light_semilla,,Pasas,,Chía,,Amaranto,,Semilla,,Cacahuate,,Chía,,Ajonjolí,
,,,tradicional_ensalada,,Ensalada verde,,Ensalada con betabel,,Ensalada con chícharos,,Ensalada con zanahoria,,Ensalada verde,,Ensalada con espinacas,,Ensalada con pepino,,,,,,,,,,,,,,,,,,light_postre,,½ naranja con chile,,Flan,,Gelatina,,Arroz con leche,,Jícama con chile,,Dulce de ate,,Bombones con crema,
,,,tradicional_sopa,,,,Crema de papa,,Consomé de pollo,,Crema de espinacas,,,,Alubias,,Crema de zanahoria,,,,,,,,,,,,,,,,,,light_complemento,,Galletas Ritz,,Totopos,,Tostadas,,Totopos,,Crotones,,Galleta salada,,Totopos,
,,,tradicional_postre,,½ naranja con chile,,Flan,,Gelatina,,Arroz con leche,,Jícama con chile,,Dulce de ate,,Bombones con crema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tradicional_salsas,,Salsa roja,,Salsa verde,,Salsa mortajada,,Salsa chipotle,,Salsa de chile habanero,,Salsa verde,,Salsa roja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
